-------------------------------
angle,output,Kp,Ki,Kd
0.02,-0.35,2.82,0.4,0.38
0.01,-0.17,2.36,0.4,0.38
0.0,-0.21,2.36,0.4,0.38
-0.01,-0.2,2.36,0.4,0.38
-0.01,-0.25,2.36,0.4,0.38
-0.01,-0.19,2.36,0.4,0.38
-0.12,0.81,2.36,0.4,0.38
-0.1,-0.09,2.36,0.39,0.38
-0.1,-0.05,2.36,0.4,0.38
-0.08,-0.23,2.36,0.4,0.38
-0.07,-0.14,2.36,0.4,0.37
-0.07,-0.09,2.35,0.4,0.38
-0.07,-0.04,2.36,0.4,0.38
-0.06,-0.2,2.36,0.4,0.38
-0.03,-0.47,0.0,0.4,0.38
-0.02,-0.36,0.0,0.4,0.38
-0.01,-0.28,2.35,0.4,0.38
-0.01,-0.23,2.35,0.4,0.38
-0.0,-0.29,2.35,0.4,0.37
0.0,-0.3,1.91,0.4,0.38
0.02,-0.37,0.0,0.39,0.38
0.02,-0.23,0.0,0.4,0.38
0.02,-0.27,0.0,0.4,0.38
0.01,-0.14,0.0,0.4,0.38
-0.01,-0.1,0.0,0.4,0.38
-0.01,-0.21,0.0,0.4,0.37
-0.02,-0.18,1.85,0.4,0.38
-0.0,-0.34,1.85,0.4,0.38
-0.01,-0.19,1.85,0.4,0.37
-0.0,-0.29,1.85,0.4,0.38
0.0,-0.29,1.85,0.4,0.37
0.0,-0.25,1.86,0.4,0.38
0.01,-0.36,1.85,0.4,0.38
0.01,-0.26,1.85,0.4,0.38
-0.09,0.75,1.85,0.4,0.38
-0.08,-0.21,1.85,0.4,0.38
-0.08,-0.06,1.85,0.4,0.38
-0.07,-0.16,1.85,0.4,0.37
-0.07,-0.11,1.85,0.4,0.37
-0.07,-0.11,1.85,0.4,0.38
-0.07,-0.11,1.85,0.4,0.38
-0.08,-0.0,1.85,0.4,0.38
-0.07,-0.16,1.85,0.4,0.38
-0.07,-0.16,1.85,0.4,0.38
-0.05,-0.28,1.85,0.4,0.38
-0.02,-0.35,1.83,0.4,0.38
-0.03,-0.2,0.0,0.4,0.38
-0.02,-0.29,0.0,0.4,0.38
-0.02,-0.15,1.79,0.4,0.38
-0.0,-0.37,1.84,0.4,0.38
0.01,-0.32,0.0,0.4,0.38
0.01,-0.23,1.84,0.4,0.38
